DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,1997,64.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,1998,64.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,1999,65.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2000,69.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2001,64.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2002,65.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2003,64.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2004,66.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2005,66.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2006,68.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2007,67.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2008,67.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2009,66.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2010,66.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2011,65.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2012,65.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2013,66.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2014,66.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2015,67.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2016,66.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2017,65.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2018,65.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,AT,2019,65.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,1997,62.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,1998,63.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,1999,59.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2000,62.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2001,71.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2002,70.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2003,73.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2004,76.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2005,76.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2006,79,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2007,80.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2008,78.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2009,79.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2010,79.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2011,80.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2012,80.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2013,78.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2014,81.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2015,81.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2016,81.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2017,83.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2018,85.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BE,2019,83.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2005,30.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2006,35,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2007,54.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2008,50.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2009,45.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2010,61.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2011,65.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2012,66.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2013,65.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2014,62,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2015,64.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2016,63.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2017,65.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2018,60.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,BG,2019,61.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2004,22,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CY,2005,11.1,
